dish_name,image_url
불고기,http://blogfiles.naver.net/MjAyMzEyMDNfODUg/MDAxNzAxNjEzNTQxMTEy._z792du6dby_sMDdtTlSMD91XFUXlH0KlHnqGSVBu2Yg.bHkz2OfeoJnLRFTJNkfnXwsorcvaawWnkfnJHSfdW3gg.JPEG.eemeh/20231203%A3%DF193537.jpg&type=f54_54
갈비찜,http://blogfiles.naver.net/MjAyMzExMDhfMTEx/MDAxNjk5NDE3NzUxMTk3.KQ2fRieyXS6_doWuwDEVYdWR1_ZjmihAPvryVWOzFxsg.qRCk-FWjeq-ecG4_GuOyarhoZSGaWEh6I34ijw84ucog.JPEG.guseo01/20231029%A3%DF170838.jpg&type=f54_54
김치찌개,http://blogfiles.naver.net/MjAyMzEwMTdfMjM2/MDAxNjk3NTMyMDQ2ODY1.OL-d27f8ZcmfJIGz9l3PG20mbHKEbm9s29rtfzQCzsAg.vy7qQO-Jq47XYw1OTi0ctQByeTvKu7k_03AoIsncOv4g.PNG.yunzzi0227/%B1%E8%C4%A14.PNG&type=f54_54
된장찌개,https://postfiles.pstatic.net/MjAyNDA5MjVfMjgx/MDAxNzI3MjI4OTYzMDE4.powvYUVxSinm7kmjloEoy2Mm6KyU91Tsy4PvkKMmllEg.sFstMGXPhsIOYI2r5xYCdjZYG3JAi4jKSMn-R6hADlgg.JPEG/SE-07af2f00-7a48-11ef-9e34-29a46047f992.jpg?type=w966
잡채,http://blogfiles.naver.net/MjAxNjExMTRfODcg/MDAxNDc5MDg2MDEzNzAy.vOkKr0rJ7WCnp1WZKaAaWaeKxCigwHTjH7zq6C7vUKYg.I8GkqyTSEwoTWyGilB_3P6NFD1AmIFd9u075RPMu2l0g.JPEG.dksmf2626/%C0%E2%C3%A4_%C8%B2%B1%DD%B7%B9%BD%C3%C7%C7%C0%E2%C3%A4_%B8%B8%B5%E5%B4%C2_%B9%E6%B9%FD%2C_%C0%E2%C3%A4%B8%B8%B5%E9%B1%E2_%282%29.jpg&type=f54_54
제육볶음,http://blogfiles.naver.net/MjAyMTAzMTRfMjI4/MDAxNjE1NjU2MTIwODMz.6GWrC2tENqnbD2wknpLHYVKVN9Ze-cTqSNSAHHDEsGkg.DXO1Kx8k4kXb9iN9rYbVrN15YBAH0bd-H3sG1lJ17gUg.JPEG.neojin77/1615656120408.jpg&type=f54_54
오징어볶음,http://blogfiles.naver.net/20160407_184/lzzivvizzl_14599966674910ikSi_JPEG/DSC07072.JPG&type=f54_54
고등어조림,https://postfiles.pstatic.net/MjAyMzA2MTRfMTkz/MDAxNjg2Njk3MTM2MDkz.7yiZFFEhCIAwr1fBuGuGaY35ldTLmi-yYBLPADI06YUg.t4AZvl5zVAZa4Q5qtsv55FCAWXAk7YVNyuoMOQA3_OUg.JPEG.sicksan/20230613%EF%BC%BF190246.jpg?type=w773
두부조림,http://blogfiles.naver.net/20120927_10/aldudcldud_1348672914458Dm1Lr_JPEG/IMGP1723_copy.jpg&type=f54_54
순두부찌개,http://blogfiles.naver.net/MjAyMjAzMThfMTIz/MDAxNjQ3NTczMjE3MjE4.2XpCJRRnLqW1dGYiA__WRwA6s0Tia3jDCR-9uvI9Qu4g.Gw848OmlLaPaViCN7ntd9RQB882WneEZ-iB1s2-x91Eg.JPEG.soso7869/IMG_1125.JPG&type=f54_54
김치전,https://postfiles.pstatic.net/MjAyMzA5MTVfMTY0/MDAxNjk0Nzc4ODgxMjYx.A2v26CLi4j7pAJPQfs0kVQ4dryUL5LW9dVs6lmmjGNwg.YkoB-V1ekH8maLPcATfgJNi13qnEOGjjy_q0kf51t7kg.JPEG.wookyungmom/SE-d4b1ce30-3671-4b3a-85ea-3f1b59e4da86.jpg?type=w773
닭갈비,http://blogfiles.naver.net/MjAyNDA3MjVfMTAw/MDAxNzIxODc3MDg0OTM0.TZA9djhpRNmCtutVaM9tCPAKbuBmiHPeduOSeUdIJmsg.0KjKEOw8kO_2ZrGxyO_qcy1HfG373B8_gyVxVPMrgB4g.JPEG/IMG_8654.JPG&type=f54_54
